epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,103.292,0.68099,0.48556,1.31471,0.84986,0.79781,0.87616,0.63091,1.00831,0.76855,1.69594,0.0013466,0.0013466,0.0013466
101,104.242,0.67332,0.48771,1.31307,0.81753,0.83607,0.88038,0.63862,0.99777,0.75924,1.69388,0.00134,0.00134,0.00134
102,105.229,0.6508,0.47597,1.3113,0.83443,0.81244,0.87759,0.64367,0.97849,0.75377,1.67355,0.0013334,0.0013334,0.0013334
103,106.171,0.67772,0.49383,1.30354,0.84105,0.79918,0.87377,0.64027,0.97081,0.76876,1.67344,0.0013268,0.0013268,0.0013268
104,107.151,0.65478,0.47608,1.29212,0.81646,0.79611,0.85921,0.62614,1.00357,0.78292,1.70957,0.0013202,0.0013202,0.0013202
105,108.092,0.65952,0.48635,1.31914,0.82996,0.79918,0.8724,0.63656,0.99577,0.77496,1.68954,0.0013136,0.0013136,0.0013136
106,109.076,0.68679,0.5001,1.31878,0.85013,0.80595,0.88161,0.64923,0.9793,0.76724,1.66894,0.001307,0.001307,0.001307
107,110.043,0.64795,0.48696,1.28024,0.82234,0.81011,0.87443,0.64019,0.98418,0.78346,1.68731,0.0013004,0.0013004,0.0013004
108,111.028,0.64217,0.46641,1.29423,0.83718,0.77869,0.86923,0.63678,0.99056,0.79909,1.69995,0.0012938,0.0012938,0.0012938
109,111.975,0.66255,0.48549,1.31807,0.81592,0.7872,0.86394,0.63364,1.00986,0.80649,1.70691,0.0012872,0.0012872,0.0012872
110,112.959,0.67633,0.48043,1.27706,0.84226,0.79098,0.87486,0.64064,0.9997,0.79383,1.71652,0.0012806,0.0012806,0.0012806
111,113.93,0.65471,0.53692,1.3064,0.82686,0.81148,0.88049,0.64532,0.99429,0.79584,1.72902,0.001274,0.001274,0.001274
112,114.908,0.64709,0.46899,1.29054,0.82523,0.83215,0.88086,0.63656,0.99885,0.84031,1.72731,0.0012674,0.0012674,0.0012674
113,115.876,0.68428,0.48561,1.30002,0.80642,0.81831,0.8689,0.62464,1.0097,0.85287,1.75432,0.0012608,0.0012608,0.0012608
114,116.859,0.64696,0.47111,1.28852,0.78726,0.81421,0.84681,0.60969,1.02052,0.82331,1.80013,0.0012542,0.0012542,0.0012542
115,117.825,0.69887,0.56141,1.34245,0.79731,0.81683,0.85365,0.61934,1.01078,0.78546,1.77836,0.0012476,0.0012476,0.0012476
116,118.792,0.67575,0.48211,1.29381,0.81429,0.82064,0.86969,0.6391,0.99209,0.73416,1.74281,0.001241,0.001241,0.001241
117,119.768,0.65257,0.47283,1.31971,0.79778,0.83539,0.86646,0.63453,0.97717,0.76302,1.74333,0.0012344,0.0012344,0.0012344
118,120.743,0.63089,0.47312,1.27901,0.81023,0.83197,0.86467,0.62127,0.9929,0.86761,1.73671,0.0012278,0.0012278,0.0012278
119,121.705,0.64766,0.47019,1.29178,0.81323,0.8306,0.8636,0.62055,1.0109,0.89801,1.71381,0.0012212,0.0012212,0.0012212
120,122.678,0.6561,0.47742,1.28864,0.80048,0.81011,0.85825,0.60999,1.02226,0.91211,1.74914,0.0012146,0.0012146,0.0012146
121,123.653,0.64137,0.46817,1.26604,0.80805,0.81421,0.85992,0.61898,1.01322,0.87831,1.75013,0.001208,0.001208,0.001208
122,124.634,0.69206,0.50876,1.39231,0.83199,0.79781,0.87594,0.64436,0.99241,0.76115,1.66563,0.0012014,0.0012014,0.0012014
123,125.594,0.69434,0.49622,1.28596,0.83827,0.78415,0.87004,0.64041,0.99766,0.75524,1.66492,0.0011948,0.0011948,0.0011948
